2025-12-06 20:35:53 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2061
2025-12-06 20:35:54 | INFO     | django.server | "POST /api/iot-data/ HTTP/1.1" 201 56
2025-12-06 20:35:55 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2061
2025-12-06 20:35:56 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2061
2025-12-06 20:35:58 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2061
2025-12-06 20:35:59 | INFO     | django.server | "POST /api/iot-data/ HTTP/1.1" 201 56
2025-12-06 20:35:59 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2059
2025-12-06 20:36:01 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2059
2025-12-06 20:36:02 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2059
2025-12-06 20:36:04 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2059
2025-12-06 20:36:04 | INFO     | django.server | "POST /api/iot-data/ HTTP/1.1" 201 56
2025-12-06 20:36:05 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2059
2025-12-06 20:36:07 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2059
2025-12-06 20:36:08 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2059
2025-12-06 20:36:08 | INFO     | django.server | "HEAD /api/dashboard/ HTTP/1.1" 200 0
2025-12-06 20:36:09 | INFO     | django.server | "POST /api/iot-data/ HTTP/1.1" 201 56
2025-12-06 20:36:10 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2059
2025-12-06 20:36:11 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2059
2025-12-06 20:36:13 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2059
2025-12-06 20:36:14 | INFO     | django.server | "POST /api/iot-data/ HTTP/1.1" 201 56
2025-12-06 20:36:14 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2059
2025-12-06 20:36:16 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2059
2025-12-06 20:36:17 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2059
2025-12-06 20:36:19 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2059
2025-12-06 20:36:19 | INFO     | django.server | "POST /api/iot-data/ HTTP/1.1" 201 56
2025-12-06 20:36:20 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2059
2025-12-06 20:36:22 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2059
2025-12-06 20:36:23 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2059
2025-12-06 20:36:24 | INFO     | django.server | "POST /api/iot-data/ HTTP/1.1" 201 56
2025-12-06 20:36:25 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2059
2025-12-06 20:36:26 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2059
2025-12-06 20:36:28 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2059
2025-12-06 20:36:29 | INFO     | django.server | "POST /api/iot-data/ HTTP/1.1" 201 56
2025-12-06 20:36:29 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2059
2025-12-06 20:36:31 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2059
2025-12-06 20:36:32 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2059
2025-12-06 20:36:34 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2059
2025-12-06 20:36:34 | INFO     | django.server | "POST /api/iot-data/ HTTP/1.1" 201 56
2025-12-06 20:36:35 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2059
2025-12-06 20:36:37 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2059
2025-12-06 20:36:38 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2059
2025-12-06 20:36:39 | INFO     | django.server | "POST /api/iot-data/ HTTP/1.1" 201 56
2025-12-06 20:36:40 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2059
2025-12-06 20:36:41 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2059
2025-12-06 20:36:43 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2059
2025-12-06 20:36:44 | INFO     | django.server | "POST /api/iot-data/ HTTP/1.1" 201 56
2025-12-06 20:36:44 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2059
2025-12-06 20:36:46 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2059
2025-12-06 20:36:47 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2059
2025-12-06 20:36:49 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2059
2025-12-06 20:36:49 | INFO     | django.server | "POST /api/iot-data/ HTTP/1.1" 201 56
2025-12-06 20:36:50 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2059
2025-12-06 20:36:52 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2059
2025-12-06 20:36:53 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2059
2025-12-06 20:36:54 | INFO     | django.server | "POST /api/iot-data/ HTTP/1.1" 201 56
2025-12-06 20:36:55 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2057
